UID        PID  PPID  C STIME TTY          TIME CMD
kmaduri   1472  1223  0 09:01 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
kmaduri   1478  1223  0 09:01 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
kmaduri   1491  1478  0 09:01 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
kmaduri   1493  1223  0 09:01 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
kmaduri   1497  1223  0 09:01 ?        00:00:00 gpg-agent --homedir /home/kmaduri/.gnupg --use-standard-socket --daemon
kmaduri   1547  1223  0 09:01 ?        00:00:03 /usr/lib/x86_64-linux-gnu/hud/hud-service
kmaduri   1549  1223  0 09:01 ?        00:00:04 /usr/lib/unity-settings-daemon/unity-settings-daemon
kmaduri   1566  1223  0 09:01 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
kmaduri   1572  1223  0 09:01 ?        00:00:05 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
kmaduri   1639  1223  0 09:01 ?        00:00:00 /usr/lib/dconf/dconf-service
root      1669     1  0 09:01 ?        00:00:00 /usr/lib/upower/upowerd
root      1683     1  0 09:01 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root      1697     2  0 09:01 ?        00:00:00 [iprt-VBoxWQueue]
root      1706     2  0 09:01 ?        00:00:00 [iprt-VBoxTscThr]
kmaduri   1718  1223  1 09:01 ?        00:08:16 compiz
kmaduri   1730  1223  0 09:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
kmaduri   1731  1223  0 09:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
kmaduri   1732  1223  0 09:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
kmaduri   1733  1223  0 09:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
kmaduri   1740  1223  0 09:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
kmaduri   1741  1223  0 09:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
kmaduri   1742  1223  0 09:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
kmaduri   1743  1223  0 09:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
kmaduri   1746  1223  0 09:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
root      1786     1  0 09:01 ?        00:00:00 /opt/cisco/anyconnect/bin/vpnagentd
kmaduri   1825  1223  0 09:01 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
kmaduri   1861  1223  0 09:01 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
rtkit     1862     1  0 09:01 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
kmaduri   1869  1223  0 09:01 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
kmaduri   1901  1566  0 09:01 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
kmaduri   1905  1566  0 09:01 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
kmaduri   1906  1566  0 09:01 ?        00:00:03 nm-applet
root      1929  1786  0 09:01 ?        00:00:03 /opt/cisco/anyconnect/bin/acnvmagent -console
kmaduri   1932  1566  0 09:01 ?        00:00:17 nautilus -n
kmaduri   1936  1566  0 09:01 ?        00:00:05 /usr/bin/gnome-software --gapplication-service
kmaduri   1958  1223  0 09:01 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root      1971     1  0 09:01 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
kmaduri   2033  1869  0 09:01 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1869x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1869/2
kmaduri   2035  1223  0 09:01 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
kmaduri   2038  1430  0 09:01 ?        00:00:08 /usr/lib/ibus/ibus-engine-simple
kmaduri   2044  1223  0 09:01 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
root      2046     1  0 09:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
kmaduri   2054  1223  0 09:01 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
kmaduri   2061  1223  0 09:01 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
kmaduri   2071  1223  0 09:01 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
kmaduri   2073  1869  0 09:01 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1869x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1869/3
kmaduri   2081  2071  0 09:01 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx2071x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/2071/2
colord    2112     1  0 09:01 ?        00:00:00 /usr/lib/colord/colord
kmaduri   2179  1223  0 09:01 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.6 /org/gtk/gvfs/exec_spaw/0
kmaduri   2188  1223  0 09:01 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
kmaduri   2219  1566  0 09:01 ?        00:00:00 zeitgeist-datahub
kmaduri   2226  1223  0 09:01 ?        00:00:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
kmaduri   2230  2226  0 09:01 ?        00:00:00 /usr/bin/zeitgeist-daemon
kmaduri   2237  1223  0 09:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
kmaduri   2262     1  0 09:02 ?        00:00:00 dbus-launch --autolaunch db478cc33da5462186cd243c8511a617 --binary-syntax --close-stderr
kmaduri   2263     1  0 09:02 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
kmaduri   2265     1  0 09:02 ?        00:00:02 /usr/lib/x86_64-linux-gnu/notify-osd
kmaduri   2269     1  0 09:02 ?        00:00:00 /usr/lib/gvfs/gvfsd
kmaduri   2279     1  0 09:02 ?        00:00:00 /usr/bin/gnome-screensaver --no-daemon
kmaduri   2333  1223  0 09:02 ?        00:01:20 /usr/bin/python /usr/bin/x-terminal-emulator
kmaduri   2343  1223  0 09:02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
kmaduri   2354  2333  0 09:02 ?        00:00:00 gnome-pty-helper
kmaduri   2355  2333  0 09:02 pts/1    00:00:00 /bin/bash
kmaduri   2398  1566  0 09:02 ?        00:00:02 update-notifier
kmaduri   2579  1223  0 09:03 ?        00:00:03 /usr/lib/x86_64-linux-gnu/notify-osd
kmaduri   2701  1566  0 09:03 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
root      3424     2  0 09:16 ?        00:00:00 [kworker/2:2]
kmaduri   4004  1223  0 09:26 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
kmaduri   4015  1223  0 09:26 ?        00:00:00 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
kmaduri   4017  1223  0 09:26 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
root      5622     2  0 09:46 ?        00:00:00 [kworker/0:0]
root     11888     2  0 11:32 ?        00:00:00 [kworker/3:0]
kmaduri  22171  2333  0 14:20 pts/17   00:00:00 /bin/bash
root     22667     2  0 14:29 ?        00:00:00 [kworker/3:1]
root     26154   819  0 15:27 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-enp0s3.pid -lf /var/lib/NetworkManager/dhclient-911eb115-7744-3323-8109-224ab235d1ad-enp0s3.lease -cf /var/lib/NetworkManager/dhclient-enp0s3.conf enp0s3
kmaduri  26468  1223  1 15:28 ?        00:00:26 /opt/google/chrome/chrome
kmaduri  26475 26468  0 15:28 ?        00:00:00 cat
kmaduri  26476 26468  0 15:28 ?        00:00:00 cat
kmaduri  26479 26468  0 15:28 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --enable-crash-reporter=d7f83f03-9020-46e3-a337-458720621603,
kmaduri  26480 26479  0 15:28 ?        00:00:00 /opt/google/chrome/nacl_helper
kmaduri  26483 26479  0 15:28 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --enable-crash-reporter=d7f83f03-9020-46e3-a337-458720621603,
kmaduri  26572 26483  0 15:28 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=1 --primordial-pipe-token=92D681095095CCBFF0EFAE3B9567E4B3 --lang=en-US --enable-crash-reporter=d7f83f03-9020-46e3-a337-458720621603, --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --blink-settings=disallowFetchForDocWrittenScriptsInMainFrame=false,disallowFetchForDocWrittenScriptsInMainFrameOnSlowConnections=false --enable-pinch --num-raster-threads=2 --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553 --disable-accelerated-video-decode --disable-webrtc-hw-vp8-encoding --disable-gpu-compositing --service-request-channel-token=92D681095095CCBFF0EFAE3B9567E4B3 --renderer-client-id=3 --shared-files=v8_natives_data:100,v8_snapshot_data:101
kmaduri  26575 26483  0 15:28 ?        00:00:08 /opt/google/chrome/chrome --type=renderer --field-trial-handle=1 --primordial-pipe-token=54E52B533DFD1902AF6F17AFF83A2424 --lang=en-US --enable-crash-reporter=d7f83f03-9020-46e3-a337-458720621603, --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --blink-settings=disallowFetchForDocWrittenScriptsInMainFrame=false,disallowFetchForDocWrittenScriptsInMainFrameOnSlowConnections=false --enable-pinch --num-raster-threads=2 --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553 --disable-accelerated-video-decode --disable-webrtc-hw-vp8-encoding --disable-gpu-compositing --service-request-channel-token=54E52B533DFD1902AF6F17AFF83A2424 --renderer-client-id=4 --shared-files=v8_natives_data:100,v8_snapshot_data:101
kmaduri  26596 26483  0 15:28 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=1 --primordial-pipe-token=E60E94FA045D886CD09A590A4FE6DEDF --lang=en-US --enable-crash-reporter=d7f83f03-9020-46e3-a337-458720621603, --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --blink-settings=disallowFetchForDocWrittenScriptsInMainFrame=false,disallowFetchForDocWrittenScriptsInMainFrameOnSlowConnections=false --enable-pinch --num-raster-threads=2 --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553 --disable-accelerated-video-decode --disable-webrtc-hw-vp8-encoding --disable-gpu-compositing --service-request-channel-token=E60E94FA045D886CD09A590A4FE6DEDF --renderer-client-id=5 --shared-files=v8_natives_data:100,v8_snapshot_data:101
kmaduri  26606 26483  0 15:28 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=1 --primordial-pipe-token=3926AF9E75353C03B0AEB6F972D8031D --lang=en-US --enable-crash-reporter=d7f83f03-9020-46e3-a337-458720621603, --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --blink-settings=disallowFetchForDocWrittenScriptsInMainFrame=false,disallowFetchForDocWrittenScriptsInMainFrameOnSlowConnections=false --enable-pinch --num-raster-threads=2 --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553 --disable-accelerated-video-decode --disable-webrtc-hw-vp8-encoding --disable-gpu-compositing --service-request-channel-token=3926AF9E75353C03B0AEB6F972D8031D --renderer-client-id=6 --shared-files=v8_natives_data:100,v8_snapshot_data:101
